C:\Python27\python.exe J:/github_repos/HDAnalysis/HDAnalysis.py
ESubject                Freq  Process                  Path                                             Method    Subject
--------------------  ------  -----------------------  -----------------------------------------------  --------  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
43-49-940-72-177           1  TEST                     /                                                GET       ['/test/integration.RequireEtcd, 43', '/test/integration/persistentvolumes.init.1, 49', '/test/integration/persistentvolumes.init, 940', 'main.init, 72', 'runtime.main, 177', 'runtime.goexit, 1998']
43-48-220-56-177           1  TEST                     /                                                GET       ['/test/integration.RequireEtcd, 43', '/test/integration/quota.init.1, 48', '/test/integration/quota.init, 220', 'main.init, 56', 'runtime.main, 177', 'runtime.goexit, 1998']
43-63-567-62-177           1  TEST                     /                                                GET       ['/test/integration.RequireEtcd, 43', '/test/integration/serviceaccount.init.1, 63', '/test/integration/serviceaccount.init, 567', 'main.init, 62', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-461-64            1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration.init, 461', 'main.init, 64', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-71-471            1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration.init, 71', '/test/integration/auth.init, 471', 'main.init, 78', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-71-125            1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration.init, 71', '/test/integration/configmap.init, 125', 'main.init, 56', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-71-940            1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration.init, 71', '/test/integration/persistentvolumes.init, 940', 'main.init, 72', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-71-189            1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration.init, 71', '/test/integration/pods.init, 189', 'main.init, 58', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-71-220            1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration.init, 71', '/test/integration/quota.init, 220', 'main.init, 56', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-71-122            1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration.init, 71', '/test/integration/secrets.init, 122', 'main.init, 56', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-71-567            1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration.init, 71', '/test/integration/serviceaccount.init, 567', 'main.init, 62', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-152-72            1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration/client.init, 152', 'main.init, 72', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-493-62            1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration/garbagecollector.init, 493', 'main.init, 62', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-78-56             1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration/kubectl.init, 78', 'main.init, 56', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-416-80            1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration/master.init, 416', 'main.init, 80', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-124-58            1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration/metrics.init, 124', 'main.init, 58', 'runtime.main, 177', 'runtime.goexit, 1998']
55-34-67-593-62            1  TEST                     /                                                GET       ['/test/integration/framework.RequireEtcd, 55', '/test/integration/framework.init.1, 34', '/test/integration/framework.init, 67', '/test/integration/scheduler.init, 593', 'main.init, 62', 'runtime.main, 177', 'runtime.goexit, 1998']
64-60-473-1998             1  TEST                     /%NAME%                                          DELETE    ['/test/integration/framework.WithEtcdKey, 64', '/test/integration/master.TestCreate, 60', 'testing.tRunner, 473', 'runtime.goexit, 1998']
64-87-473-1998             1  TEST                     /%NAME%                                          DELETE    ['/test/integration/framework.WithEtcdKey, 64', '/test/integration/master.TestGet, 87', 'testing.tRunner, 473', 'runtime.goexit, 1998']
64-199-473-1998            1  TEST                     /%NAME%                                          DELETE    ['/test/integration/framework.WithEtcdKey, 64', '/test/integration/master.TestWatch, 199', 'testing.tRunner, 473', 'runtime.goexit, 1998']
64-142-473-1998            1  TEST                     /%NAME%                                          DELETE    ['/test/integration/framework.WithEtcdKey, 64', '/test/integration/master.TestWriteTTL, 142', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-79-63-87           1  None                     /%NAME%                                          GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/test/integration/master.TestGet.func1, 79', '/test/integration/framework.WithEtcdKey, 63', '/test/integration/master.TestGet, 87', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-470-101-63-142         1  None                     /%NAME%                                          GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/test/integration/master.TestWriteTTL.func1, 101', '/test/integration/framework.WithEtcdKey, 63', '/test/integration/master.TestWriteTTL, 142', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-470-132-63-142         1  None                     /%NAME%                                          GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/test/integration/master.TestWriteTTL.func1, 132', '/test/integration/framework.WithEtcdKey, 63', '/test/integration/master.TestWriteTTL, 142', 'testing.tRunner, 473', 'runtime.goexit, 1998']
48-63-60-473-1998          1  TEST                     /%NAME%                                          GET       ['/test/integration/master.TestCreate.func1, 48', '/test/integration/framework.WithEtcdKey, 63', '/test/integration/master.TestCreate, 60', 'testing.tRunner, 473', 'runtime.goexit, 1998']
118-63-142-473-1998        1  TEST                     /%NAME%                                          GET       ['/test/integration/master.TestWriteTTL.func1, 118', '/test/integration/framework.WithEtcdKey, 63', '/test/integration/master.TestWriteTTL, 142', 'testing.tRunner, 473', 'runtime.goexit, 1998']
139-63-142-473-1998        1  TEST                     /%NAME%                                          GET       ['/test/integration/master.TestWriteTTL.func1, 139', '/test/integration/framework.WithEtcdKey, 63', '/test/integration/master.TestWriteTTL, 142', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-45-63-60-473           1  None                     /%NAME%                                          PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/test/integration/master.TestCreate.func1, 45', '/test/integration/framework.WithEtcdKey, 63', '/test/integration/master.TestCreate, 60', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-97-63-142-473          1  None                     /%NAME%                                          PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/test/integration/master.TestWriteTTL.func1, 97', '/test/integration/framework.WithEtcdKey, 63', '/test/integration/master.TestWriteTTL, 142', 'testing.tRunner, 473', 'runtime.goexit, 1998']
550-101-63-142-473         1  None                     /%NAME%                                          PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 550', '/test/integration/master.TestWriteTTL.func1, 101', '/test/integration/framework.WithEtcdKey, 63', '/test/integration/master.TestWriteTTL, 142', 'testing.tRunner, 473', 'runtime.goexit, 1998']
550-132-63-142-473         1  None                     /%NAME%                                          PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 550', '/test/integration/master.TestWriteTTL.func1, 132', '/test/integration/framework.WithEtcdKey, 63', '/test/integration/master.TestWriteTTL, 142', 'testing.tRunner, 473', 'runtime.goexit, 1998']
74-63-87-473-1998          1  TEST                     /%NAME%                                          PUT       ['/test/integration/master.TestGet.func1, 74', '/test/integration/framework.WithEtcdKey, 63', '/test/integration/master.TestGet, 87', 'testing.tRunner, 473', 'runtime.goexit, 1998']
441-416-474-262-241       67  util                     /%UUID%/certificatesigningrequests               GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*cacherListerWatcher).List, 474', '/pkg/client/cache.(*Reflector).ListAndWatch, 262', '/pkg/storage.(*Cacher).startCaching, 241', '/pkg/storage.NewCacherFromConfig.func1.1, 210', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/storage.NewCacherFromConfig.func1, 213', 'runtime.goexit, 1998']
206-181-1998              71  etcdWatch                /%UUID%/certificatesigningrequests               GET       ['/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 206', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
441-416-205-187-48         2  kube-apiserver           /%UUID%/clusterrolebindings                      GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/registry/clusterrolebinding.(*storage).ListClusterRoleBindings, 48', '/pkg/apis/rbac/validation.(*DefaultRuleResolver).GetEffectivePolicyRules, 137', '/pkg/apis/rbac/validation.ConfirmNoEscalation, 47', '/plugin/pkg/auth/authorizer/rbac.(*RBACAuthorizer).Authorize, 61', '/pkg/apiserver.WithAuthorizationCheck.func1, 488', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/auth/handlers.NewRequestAuthenticator.func1, 66', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
441-416-205-187-48        18  kube-apiserver           /%UUID%/clusterrolebindings                      GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/registry/clusterrolebinding.(*storage).ListClusterRoleBindings, 48', '/pkg/apis/rbac/validation.(*DefaultRuleResolver).GetEffectivePolicyRules, 137', '/pkg/apis/rbac/validation.ConfirmNoEscalation, 56', '/plugin/pkg/auth/authorizer/rbac.(*RBACAuthorizer).Authorize, 61', '/pkg/apiserver.WithAuthorizationCheck.func1, 488', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/auth/handlers.NewRequestAuthenticator.func1, 66', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
441-416-474-262-241      134  util                     /%UUID%/clusterrolebindings                      GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*cacherListerWatcher).List, 474', '/pkg/client/cache.(*Reflector).ListAndWatch, 262', '/pkg/storage.(*Cacher).startCaching, 241', '/pkg/storage.NewCacherFromConfig.func1.1, 210', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/storage.NewCacherFromConfig.func1, 213', 'runtime.goexit, 1998']
206-181-1998             142  etcdWatch                /%UUID%/clusterrolebindings                      GET       ['/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 206', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
277-470-38-388-65          2  kube-apiserver           /%UUID%/clusterrolebindings/%NAME%               GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/registry/clusterrolebinding/policybased.(*Storage).Update, 65', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
527-38-388-65-717          2  kube-apiserver           /%UUID%/clusterrolebindings/%NAME%               PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 527', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/registry/clusterrolebinding/policybased.(*Storage).Update, 65', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
441-416-474-262-241      134  util                     /%UUID%/clusterroles                             GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*cacherListerWatcher).List, 474', '/pkg/client/cache.(*Reflector).ListAndWatch, 262', '/pkg/storage.(*Cacher).startCaching, 241', '/pkg/storage.NewCacherFromConfig.func1.1, 210', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/storage.NewCacherFromConfig.func1, 213', 'runtime.goexit, 1998']
206-181-1998             144  etcdWatch                /%UUID%/clusterroles                             GET       ['/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 206', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
